Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PLACE_HOLDER_SQE,65535,2,0.007,1779503256833027.438	,1779503256833027.445	
0,_Z14scatter_customIfiEvPT_PKS0_PKT0_jj,AI_CORE,2,3,6.236,1779503256840731.625	,1779503256840737.861	
0,N/A,PLACE_HOLDER_SQE,65535,4,0.007,1779503256841563.740	,1779503256841563.747	
0,N/A,PLACE_HOLDER_SQE,65535,5,0.007,1779503256841790.901	,1779503256841790.908	
